,d1,d2
Specificity,77,"['29319119', '28583277', '28522607', '28395324', '28196871', '28030541', '27631337', '27640347', '26535061', '26195824', '26136625', '26059219', '25883418', '25608244', '25496719', '25407036', '25317310', '25172980', '25007965', '24921639', '24001715', '23825425', '23715824', '22949840', '22864617', '22735397', '22244200', '22155255', '22095450', '22093619', '21398512', '21030882', '20726982', '20702398', '20668524', '20385846', '20373060', '20014058', '19228121', '18422767', '18421800', '18303021', '17914699', '17680565', '17577120', '17474321', '17209321', '16899617', '16879217', '16840535', '16740273', '16194605', '16101484', '15832770', '15006730', '12482300', '11206670', '11166084', '11002571', '10952440', '10712671', '9362058', '8961387', '8836152', '7850935', '1444501', '1620912', '1987204', '1697618', '3345793', '2457556', '2993541', '6189261', '7135200', '667097', '836864', '1201641']"
Strain,53,"['29425835', '28780742', '28545489', '28041998', '27491456', '27468760', '27425557', '26924347', '25768016', '24950220', '24452681', '24361347', '23715824', '23297852', '23212541', '22430975', '22304943', '21365015', '21347323', '21323640', '20705294', '19822649', '19772904', '17825066', '17293913', '15644926', '12955587', '12496178', '12482300', '12406721', '12177164', '12007212', '11810244', '11118001', '10952440', '10847598', '10563807', '10395662', '10338522', '10092079', '9559734', '9105043', '8853422', '1597422', '1987581', '2328699', '2786781', '3047064', '2975970', '3803383', '3986963', '6418213', '7471057']"
Survey,30,"['29488875', '29282553', '28628680', '28577815', '28497917', '28032061', '27332961', '27324721', '26481491', '25367419', '25174569', '25044780', '24618833', '22820844', '22544658', '22154479', '21818146', '21168094', '21116666', '19725258', '16255784', '16150477', '15869128', '15277798', '12491849', '11983193', '10866837', '28524302', '3157315', '900245']"
animal+Model ,16,"['28381441', '27246365', '26924347', '25965192', '24472848', '17474321', '17379248', '16731800', '16550161', '11896022', '11356819', '11024536', '1487755', '3202811', '3378162', '3487376']"
bioavailability,11,"['29098639', '28661183', '19497385', '17263554', '16238650', '15882290', '15237710', '14572860', '12172212', '11256238', '9498328']"
bioavailable,1,['24529134']
case+study,2,"['25997831', '7529355']"
coaching,0,[]
confounding+factor,0,[]
data+quality,1,['24643214']
dosage,26,"['29377706', '28670298', '28565991', '28212981', '25309778', '24036492', '23961250', '23561334', '21857805', '20841783', '21577331', '19746842', '15447724', '15014969', '14572860', '10755533', '10573082', '10516957', '9199024', '8770334', '2257741', '2764268', '2906088', '3327885', '3608798', '7013064']"
dosing,9,"['23622218', '21143499', '16019207', '15882290', '10086479', '8735631', '1517927', '3070279', '6833518']"
drug+interaction,2,"['26177778', '8834846']"
general+conclusion,0,[]
generalized+conclusion,0,[]
human+error,0,[]
in-vitro+in-vivo+correlation,0,[]
indirect+measurement,0,[]
insufficient+information,0,[]
long+term+study,4,"['16572601', '10705622', '9548208', '2888305']"
misinterpretation,1,['24001715']
off-label,0,[]
omission,0,[]
phase+III+trials,1,['9724117']
pilot+study,7,"['23165808', '22842375', '21773038', '17602261', '15245578', '10372878', '8317460']"
placebo,48,"['28856601', '26858840', '26854974', '25662053', '25190728', '24983750', '24960516', '23509922', '23194380', '22819575', '22623147', '22616830', '22220221', '22105451', '21545958', '20153482', '19877824', '19811343', '19588413', '17350342', '16873787', '15726917', '15201248', '14726922', '12381764', '11348956', '10503759', '10361328', '10202604', '9973883', '9802965', '9604941', '9362407', '9167371', '8997461', '8944393', '7897158', '7903921', '1533027', '1284142', '2390121', '2564351', '3327885', '2885298', '3729666', '6751003', '6767012', '823828']"
plasmid,6,"['29363306', '22841961', '22536154', '11810244', '2485127', '16453734']"
poor+quality,0,[]
qualitative+data,1,['19888836']
quality,96,"['29576404', '29562676', '29245188', '29059534', '28818090', '28526923', '28356407', '28068524', '27706609', '27640347', '27604607', '27229113', '27060049', '26586646', '26547484', '26190512', '25963934', '25747331', '25667430', '25613176', '25464680', '25259555', '25249303', '25172980', '25091059', '24813161', '24643214', '24487540', '24395277', '23961250', '23940794', '23851757', '23761782', '23656856', '23638927', '23489974', '23327249', '23277709', '23091408', '25328348', '22913912', '22874675', '23705134', '22155255', '22105451', '21981302', '21572851', '21545958', '21490287', '21364933', '21198622', '21206928', '27820309', '20703815', '20601606', '19888836', '19725258', '19703838', '19641893', '19472957', '19404890', '19327573', '19248311', '19112219', '18618051', '18492142', '18321434', '18203856', '17666036', '17242465', '16509857', '16428609', '16316292', '16235296', '16194605', '15951667', '15245578', '14970094', '11307232', '11190068', '11166084', '10929879', '9973883', '9779332', '9616439', '9587183', '1463116', '1463998', '1533027', '1920657', '3281765', '6418213', '22055615', '6258107', '717632', '1063185']"
short +term + study,1,['10705622']
side+effects,36,"['28366139', '27280234', '26311243', '25537107', '23961250', '23761782', '23651723', '23638927', '23622218', '21587328', '21498790', '20602189', '19940996', '19877824', '17241599', '16238650', '16123775', '15098648', '14567458', '11041543', '10798132', '9199024', '9218202', '8899054', '7903921', '8317460', '1935794', '2019161', '1978251', '2075004', '3173390', '3281765', '3327885', '3948473', '12281403', '4566489']"
speculation,4,"['25831210', '23165808', '22870598', '22842375']"
sub-threshold,1,['12731453']
survey,30,"['29488875', '29282553', '28628680', '28577815', '28497917', '28032061', '27332961', '27324721', '26481491', '25367419', '25174569', '25044780', '24618833', '22820844', '22544658', '22154479', '21818146', '21168094', '21116666', '19725258', '16255784', '16150477', '15869128', '15277798', '12491849', '11983193', '10866837', '28524302', '3157315', '900245']"
transparency,0,[]
wrong+conclusion,0,[]
